,date,likes,comments_num,posts_num,Adj Close,Volume,comments_lm_pos,comments_lm_neg,comments_lm_pol,comments_lm_subj,comments_hiv4_pos,comments_hiv4_neg,comments_hiv4_pol,comments_hiv4_subj,comments_vader_neg,comments_vader_compound,comments_vader_pos,comments_vader_neu,emojs,emojs_count,emoj_avg,emoj_sum
333,2021-06-11,469,3058,170,233.339996,15580800.0,5444,15395,-0.4775181150497856,0.0845793558019815,46176,35917,0.1249680240687395,0.3331912786531057,0.146,1.0,0.162,0.692,0,0.0,0.0,0.0
334,2021-06-12,75,280,75,233.339996,15580800.0,3061,8422,-0.4668640598739995,0.0747459756418159,28777,21127,0.1532943251011282,0.3248387327727233,0.152,1.0,0.172,0.676,"['🚀', '🌑', '😉']",3.0,1.0,3.0
335,2021-06-13,53,135,45,233.339996,15580800.0,7303,19957,-0.4641966250746809,0.0846013711254074,60282,45065,0.1444464484024752,0.3269442642680958,0.144,1.0,0.165,0.691,"['💪', '💪', '💪', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🐴', '🐴', '🐴', '🐴']",615.0,0.9934959349593496,611.0
336,2021-06-14,8084,4006,86,229.440002,7132600.0,5508,15578,-0.4775680546107574,0.0846470363899373,46611,36233,0.125271594803181,0.3325665883850883,0.151,-1.0,0.157,0.693,"['🐂', '🎯', '🌈', '🐻', '🎯', '🐂', '🎯', '🌈', '🐻', '🎯', '🐂', '🎯', '🌈', '🐻', '🎯', '🐂', '🎯', '🌈', '🐻', '🎯', '🐂', '🎯', '🌈', '🐻', '🎯', '🌒']",26.0,0.6153846153846154,16.0
337,2021-06-15,3999,2381,94,222.5,7301900.0,5482,15196,-0.4697746396909868,0.0839579357664381,45884,35520,0.1273156110249212,0.3305209306089142,0.146,1.0,0.159,0.694,0,0.0,0.0,0.0
338,2021-06-16,5090,2687,82,222.970001,5564800.0,5561,15725,-0.4774969463272809,0.0842609452929924,47154,36519,0.127101932521517,0.331220805952295,0.147,1.0,0.16,0.693,0,0.0,0.0,0.0
339,2021-06-17,941,1111,85,223.589996,4608600.0,5829,15590,-0.4557168868548617,0.0842021259863972,47694,36348,0.1350039266065181,0.3303849419743592,0.144,1.0,0.162,0.693,0,0.0,0.0,0.0
340,2021-06-18,697,722,59,213.820007,4320300.0,5765,15695,-0.4627213420101248,0.0841713864349763,47617,36488,0.1323226918716804,0.3298804499586992,0.145,1.0,0.161,0.694,0,0.0,0.0,0.0
341,2021-06-19,1052,821,57,213.820007,4320300.0,5459,15442,-0.4776326491326906,0.0848992225387109,46139,35917,0.1245734620244153,0.3333089615155479,0.147,1.0,0.161,0.692,0,0.0,0.0,0.0
342,2021-06-20,41,118,34,213.820007,4320300.0,5570,15433,-0.4695995809898776,0.084310120586055,46710,36061,0.1286561718460734,0.3322588673536334,0.144,1.0,0.163,0.692,0,0.0,0.0,0.0
